method,round,scale,run_id,preservation_mean,preservation_std,preservation_n,abs_exact_match,abs_mean_f1,abs_contains,abs_fact_mean_f1,abs_fact_worst_f1,abs_contains_any_phrasing,abs_contains_all_phrasings,abs_n_facts,abs_n_probes,loc_same_entity_f1,loc_same_entity_acc,loc_same_entity_n,loc_other_sector_f1,loc_other_sector_acc,loc_other_sector_n,loc_same_sector_f1,loc_same_sector_acc,loc_same_sector_n,loc_overall_f1,loc_overall_acc,loc_overall_n,comp_exact_match,comp_contains_final_answer,comp_contains_bridging_entity,comp_token_f1,comp_n_probes
copr,1,200,seq_copr_round_1_qd_scale200,0.23878205128205127,0.33871017843724277,104,0.002531645569620253,0.051552594000532206,0.012658227848101266,0.053769604800182835,0.033120596906361814,0.025,0.01,200,395,0.021578968841205505,0.021578968841205505,182,0.020901519221078944,0.020901519221078944,1817,0.0,0.0,1,0.02095271637689992,0.02095271637689992,2000,,,,,
copr,2,200,seq_copr_round_2_qd_scale200,0.22756410256410253,0.33972847087791935,104,0.02557544757033248,0.0751547518105424,0.03836317135549872,0.06695754825692536,0.048342141235171596,0.04,0.02,200,391,0.021729140869503887,0.021729140869503887,182,0.021831973898645645,0.021831973898645645,1817,0.0,0.0,1,0.02181170010604442,0.02181170010604442,2000,,,,,
copr,3,200,seq_copr_round_3_qd_scale200,0.22275641025641024,0.3401628702120124,104,0.008108108108108109,0.05472097106914451,0.01891891891891892,0.05134148739810827,0.030892013261134128,0.03,0.0,200,370,0.02281014940943428,0.02281014940943428,182,0.024338610526149097,0.024338610526149097,1817,0.0,0.0,1,0.024187351259264977,0.024187351259264977,2000,,,,,
copr,4,200,seq_copr_round_4_qd_scale200,0.2243589743589743,0.3307344446029341,104,0.0049504950495049506,0.08898359176220681,0.022277227722772276,0.07762679023959264,0.039435805298607705,0.035,0.0,200,404,0.018172976456972915,0.018172976456972915,182,0.02297923583370212,0.02297923583370212,1817,0.0,0.0,1,0.02253037661250291,0.02253037661250291,2000,,,,,
copr,5,200,seq_copr_round_5_qd_scale200,0.2580128205128205,0.3564723647692503,104,0.012106537530266344,0.06985647710722015,0.01937046004842615,0.0644662400969192,0.048173738008364476,0.035,0.005,200,413,0.020987695598665552,0.020987695598665552,182,0.024249389452887953,0.024249389452887953,1817,0.0,0.0,1,0.02394045061742727,0.02394045061742727,2000,,,,,
copr,6,200,seq_copr_round_6_qd_scale200,0.23557692307692304,0.33621397665762537,104,0.026881720430107527,0.08827439903900608,0.03494623655913978,0.07807422059638969,0.060735836758005854,0.035,0.02,200,372,0.0223832175476702,0.0223832175476702,182,0.029075603849395563,0.029075603849395563,1817,0.0,0.0,1,0.02845205889401386,0.02845205889401386,2000,,,,,
copr,7,200,seq_copr_round_7_qd_scale200,0.23237179487179485,0.35083711645348165,104,0.0171990171990172,0.08681121466136138,0.022113022113022112,0.08764977732482587,0.055939709614758165,0.03,0.015,200,407,0.02387365951543383,0.02387365951543383,182,0.028931628935866042,0.028931628935866042,1817,0.0,0.0,1,0.028456887904138778,0.028456887904138778,2000,,,,,
copr,8,200,seq_copr_round_8_qd_scale200,0.20512820512820512,0.32458945900441444,104,0.02531645569620253,0.05110926631676992,0.027848101265822784,0.05277917093899056,0.04576039804521767,0.025,0.02,200,395,0.023559073372758307,0.023559073372758307,182,0.02637332532476673,0.02637332532476673,1817,0.0,0.0,1,0.02610404173447158,0.02610404173447158,2000,,,,,
copr,10,200,seq_copr_round_10_qd_scale200,0.23237179487179485,0.34391712660712537,104,0.022277227722772276,0.1104500190399381,0.03217821782178218,0.10309309402928939,0.0632313120204486,0.04,0.005,200,404,0.02691734671518488,0.02691734671518488,182,0.02606787668273354,0.02606787668273354,1817,0.0,0.0,1,0.026132144517345246,0.026132144517345246,2000,0.0,0.014,0.072,0.06647484645317865,500
copr_anchored,1,200,seq_copr_anchored_round_1_qd_scale200,0.24679487179487178,0.36101469152247667,104,0.002531645569620253,0.056423757279662715,0.015189873417721518,0.05854398810113474,0.03947505194046517,0.025,0.005,200,395,0.024849738233758304,0.024849738233758304,182,0.024152688297448013,0.024152688297448013,1817,0.0,0.0,1,0.024204043497503526,0.024204043497503526,2000,,,,,
copr_anchored,2,200,seq_copr_anchored_round_2_qd_scale200,0.22115384615384615,0.33127756109523493,104,0.02557544757033248,0.08917590745701065,0.04092071611253197,0.08625905299860975,0.06636198710154384,0.04,0.03,200,391,0.032677767294255214,0.032677767294255214,182,0.03555984477519432,0.03555984477519432,1817,0.0,0.0,1,0.03527979580204126,0.03527979580204126,2000,,,,,
copr_anchored,3,200,seq_copr_anchored_round_3_qd_scale200,0.23717948717948717,0.3441298854222961,104,0.005405405405405406,0.03114020336418119,0.016216216216216217,0.03931572543008441,0.026675310289669265,0.02,0.01,200,370,0.04353837869161374,0.04353837869161374,182,0.04098619147889407,0.04098619147889407,1817,0.0,0.0,1,0.04119794741951211,0.04119794741951211,2000,,,,,
copr_anchored,4,200,seq_copr_anchored_round_4_qd_scale200,0.23076923076923078,0.35227260677010475,104,0.007425742574257425,0.07515163411343423,0.01485148514851485,0.06258224718508341,0.031315458418294646,0.025,0.0,200,404,0.03353064652042943,0.03353064652042943,182,0.03451495691395139,0.03451495691395139,1817,0.16666666666666669,0.16666666666666669,1,0.034491460523017256,0.034491460523017256,2000,,,,,
copr_anchored,5,200,seq_copr_anchored_round_5_qd_scale200,0.24839743589743588,0.3459126355691807,104,0.014527845036319613,0.06581388590361671,0.021791767554479417,0.059266785502079616,0.04273900772430184,0.03,0.015,200,413,0.02005962652404625,0.02005962652404625,182,0.028191957776084024,0.028191957776084024,1817,0.0,0.0,1,0.027437819653260545,0.027437819653260545,2000,,,,,
copr_anchored,8,200,seq_copr_anchored_round_8_qd_scale200,0.24358974358974358,0.34969696658938093,104,0.030379746835443037,0.059873906745123044,0.03291139240506329,0.05720731502796719,0.043536680107332276,0.03,0.025,200,395,0.02947314123784712,0.02947314123784712,182,0.032353870899455184,0.032353870899455184,1817,0.0,0.0,1,0.03207554756479912,0.03207554756479912,2000,,,,,
copr_anchored,9,200,seq_copr_anchored_round_9_qd_scale200,0.22756410256410253,0.3497997689671818,104,0.002531645569620253,0.039933694996986145,0.002531645569620253,0.03921825396825398,0.017880952380952383,0.005,0.0,200,395,0.012037962037962037,0.012037962037962037,182,0.021706686036925743,0.021706686036925743,1817,0.0,0.0,1,0.020815978810001582,0.020815978810001582,2000,,,,,
copr_anchored,10,200,seq_copr_anchored_round_10_qd_scale200,0.23878205128205127,0.3578816645648247,104,0.012376237623762377,0.06562549112054061,0.01485148514851485,0.048123015873015866,0.014039682539682541,0.025,0.0,200,404,0.02027972027972028,0.02027972027972028,182,0.02825369484226069,0.02825369484226069,1817,0.0,0.0,1,0.027513936309648383,0.027513936309648383,2000,0.004,0.01,0.014,0.024597410006285576,500
copr_gold_injection,1,200,seq_copr_gold_injection_round_1_qd_scale200,0.23557692307692307,0.34328928093901584,104,0.010126582278481013,0.06898689088566845,0.02278481012658228,0.06692860228590126,0.03923569339173883,0.035,0.01,200,395,0.017533705831183695,0.017533705831183695,182,0.023899585636107713,0.023899585636107713,1817,0.0,0.0,1,0.023308340781041572,0.023308340781041572,2000,,,,,
copr_gold_injection,2,200,seq_copr_gold_injection_round_2_qd_scale200,0.24999999999999997,0.35051854139723887,104,0.02557544757033248,0.08591222942016981,0.03580562659846547,0.08046305256519368,0.058382041256241204,0.03,0.025,200,391,0.03971585633021108,0.03971585633021108,182,0.032477652693802844,0.032477652693802844,1817,0.0,0.0,1,0.03312009039836909,0.03312009039836909,2000,,,,,
copr_gold_injection,3,200,seq_copr_gold_injection_round_3_qd_scale200,0.23557692307692307,0.33302114942324923,104,0.01891891891891892,0.08092280995338655,0.03783783783783784,0.07269911731357875,0.04704443573784456,0.045,0.025,200,370,0.04334958519742328,0.04334958519742328,182,0.037093188400457146,0.037093188400457146,1817,0.0,0.0,1,0.03764397391478084,0.03764397391478084,2000,,,,,
copr_gold_injection,4,200,seq_copr_gold_injection_round_4_qd_scale200,0.22435897435897434,0.3371331741616591,104,0.01485148514851485,0.11445535989073995,0.019801980198019802,0.10470330683277455,0.06723480866427638,0.025,0.0,200,404,0.06122301367765543,0.06122301367765543,182,0.04716481690123367,0.04716481690123367,1817,0.0,0.0,1,0.04842053039943743,0.04842053039943743,2000,,,,,
copr_gold_injection,5,200,seq_copr_gold_injection_round_5_qd_scale200,0.22916666666666666,0.34760128881076663,104,0.021791767554479417,0.09434469652559613,0.021791767554479417,0.09358370308726074,0.06067894118249884,0.03,0.01,200,413,0.06226820671169641,0.06226820671169641,182,0.050475630622717566,0.050475630622717566,1817,0.0,0.0,1,0.05152351723150328,0.05152351723150328,2000,,,,,
copr_gold_injection,6,200,seq_copr_gold_injection_round_6_qd_scale200,0.22435897435897434,0.3410714254980264,104,0.01881720430107527,0.11783974337588643,0.02956989247311828,0.1146759501019104,0.07577862730302729,0.04,0.01,200,372,0.05760768926674908,0.05760768926674908,182,0.04637549584600678,0.04637549584600678,1817,0.0,0.0,1,0.04737443769937133,0.04737443769937133,2000,,,,,
copr_gold_injection,7,200,seq_copr_gold_injection_round_7_qd_scale200,0.2099358974358974,0.3210852260484555,104,0.029484029484029485,0.12726630837829134,0.0343980343980344,0.1340966554181614,0.09526002557291088,0.045,0.025,200,407,0.061500137180295754,0.061500137180295754,182,0.056000040686648205,0.056000040686648205,1817,0.0,0.0,1,0.0564725494472268,0.0564725494472268,2000,,,,,
copr_gold_injection,8,200,seq_copr_gold_injection_round_8_qd_scale200,0.22115384615384615,0.3247634804156755,104,0.04556962025316456,0.1093307119352221,0.04810126582278481,0.1204606023839217,0.09733992077794598,0.045,0.04,200,395,0.05966354543064322,0.05966354543064322,182,0.05149457210929087,0.05149457210929087,1817,0.0,0.0,1,0.05221220139547929,0.05221220139547929,2000,,,,,
copr_gold_injection,10,200,seq_copr_gold_injection_round_10_qd_scale200,0.2131410256410256,0.33128918956150016,104,0.04207920792079208,0.16180083917163246,0.0594059405940594,0.1736460733956022,0.11906415141894337,0.08,0.02,200,404,0.06433444195804824,0.06433444195804824,182,0.0644704885358961,0.0644704885358961,1817,0.0,0.0,1,0.064425873053044,0.064425873053044,2000,0.012,0.018,0.042,0.08839573014414018,500
copr_gold_injection_anchored,1,200,seq_copr_gold_injection_anchored_round_1_qd_scale200,0.24198717948717946,0.34813284600582156,104,0.015189873417721518,0.07742888381529328,0.027848101265822784,0.07277684177662551,0.04300491794315402,0.04,0.01,200,395,0.019772428839779435,0.019772428839779435,182,0.02396902074692821,0.02396902074692821,1817,0.0,0.0,1,0.02357514637300421,0.02357514637300421,2000,,,,,
copr_gold_injection_anchored,2,200,seq_copr_gold_injection_anchored_round_2_qd_scale200,0.1939102564102564,0.32118119413729007,104,0.028132992327365727,0.07986323617279359,0.03580562659846547,0.07292717820844138,0.054991120620423016,0.03,0.025,200,391,0.03296990594849611,0.03296990594849611,182,0.0312871405518702,0.0312871405518702,1817,0.0,0.0,1,0.03142462863268722,0.03142462863268722,2000,,,,,
copr_gold_injection_anchored,3,200,seq_copr_gold_injection_anchored_round_3_qd_scale200,0.203525641025641,0.31602222783822814,104,0.008108108108108109,0.06913817195937298,0.024324324324324326,0.06470589870585927,0.04074093337319876,0.025,0.015,200,370,0.03461510980690417,0.03461510980690417,182,0.036223115974598395,0.036223115974598395,1817,0.0,0.0,1,0.03605867585535092,0.03605867585535092,2000,,,,,
copr_gold_injection_anchored,4,200,seq_copr_gold_injection_anchored_round_4_qd_scale200,0.2131410256410256,0.32804843389896476,104,0.017326732673267328,0.11784197572665854,0.024752475247524754,0.10416531005463348,0.07314423626469176,0.035,0.01,200,404,0.054011694334625306,0.054011694334625306,182,0.04840175210247178,0.04840175210247178,1817,0.0,0.0,1,0.04888805596954652,0.04888805596954652,2000,,,,,
copr_gold_injection_anchored,5,200,seq_copr_gold_injection_anchored_round_5_qd_scale200,0.18589743589743588,0.3068899795791236,104,0.03389830508474576,0.10618364554034129,0.0387409200968523,0.10944879153286827,0.08610851375509049,0.045,0.025,200,413,0.06856086247813362,0.06856086247813362,182,0.05750313449099113,0.05750313449099113,1817,0.0,0.0,1,0.05848063617057559,0.05848063617057559,2000,,,,,
copr_gold_injection_anchored,6,200,seq_copr_gold_injection_anchored_round_6_qd_scale200,0.21474358974358973,0.3394259521439442,104,0.02956989247311828,0.1310010683493052,0.03763440860215054,0.12653654220426275,0.08578464225236279,0.04,0.01,200,372,0.08312253135076786,0.08312253135076786,182,0.05910433710408371,0.05910433710408371,1817,0.0,0.0,1,0.061260440611979924,0.061260440611979924,2000,,,,,
copr_gold_injection_anchored,7,200,seq_copr_gold_injection_anchored_round_7_qd_scale200,0.2131410256410256,0.3392556668092604,104,0.029484029484029485,0.14618205986426003,0.03194103194103194,0.15424107383435115,0.11467096801424531,0.035,0.015,200,407,0.0703137322234675,0.0703137322234675,182,0.0672295295624846,0.0672295295624846,1817,0.0,0.0,1,0.0674765772398528,0.0674765772398528,2000,,,,,
copr_gold_injection_anchored,8,200,seq_copr_gold_injection_anchored_round_8_qd_scale200,0.1939102564102564,0.31783739133510314,104,0.04050632911392405,0.09486392130280458,0.043037974683544304,0.10942608584288027,0.08371338743018188,0.045,0.035,200,395,0.06859048594550611,0.06859048594550611,182,0.0598189941389779,0.0598189941389779,1817,0.0,0.0,1,0.06058729039630248,0.06058729039630248,2000,,,,,
copr_gold_injection_anchored,10,200,seq_copr_gold_injection_anchored_round_10_qd_scale200,0.1875,0.3224898958199821,104,0.024752475247524754,0.13887947208020296,0.03217821782178218,0.14415281040512906,0.08725136234052305,0.05,0.005,200,404,0.07920340971369093,0.07920340971369093,182,0.07631140608678148,0.07631140608678148,1817,0.0,0.0,1,0.07653642271378686,0.07653642271378686,2000,0.01,0.016,0.052,0.08842615713804877,500
kl_reg_sft,1,200,seq_kl_reg_sft_round_1_qd_scale200,0.18589743589743588,0.31035175479256927,104,0.007594936708860759,0.08166819757473746,0.012658227848101266,0.080515182680599,0.056459220124636424,0.02,0.005,200,395,0.05636581990183839,0.05636581990183839,182,0.04558753705634809,0.04558753705634809,1817,0.15384615384615385,0.15384615384615385,1,0.046622490103682614,0.046622490103682614,2000,,,,,
kl_reg_sft,2,200,seq_kl_reg_sft_round_2_qd_scale200,0.23076923076923078,0.3469245930188412,104,0.03580562659846547,0.11185484942819078,0.043478260869565216,0.12047114405202633,0.09974657695245927,0.05,0.025,200,391,0.04474073545502116,0.04474073545502116,182,0.04751248731756878,0.04751248731756878,1817,0.0,0.0,1,0.047236501654418166,0.047236501654418166,2000,,,,,
kl_reg_sft,3,200,seq_kl_reg_sft_round_3_qd_scale200,0.23076923076923078,0.34615384615384615,104,0.01891891891891892,0.08627359877359875,0.01891891891891892,0.09631275668775668,0.06806178543678543,0.03,0.005,200,370,0.05050061050061049,0.05050061050061049,182,0.04933350211656137,0.04933350211656137,1817,0.0,0.0,1,0.04941504222845156,0.04941504222845156,2000,,,,,
kl_reg_sft,4,200,seq_kl_reg_sft_round_4_qd_scale200,0.21474358974358973,0.3199835373395174,104,0.012376237623762377,0.1213543242656521,0.01485148514851485,0.13567536858566268,0.10418060681148916,0.02,0.01,200,404,0.05236802413273001,0.05236802413273001,182,0.049416130745418514,0.049416130745418514,1817,0.0,0.0,1,0.04966004497829116,0.04966004497829116,2000,,,,,
kl_reg_sft,5,200,seq_kl_reg_sft_round_5_qd_scale200,0.22916666666666666,0.3358777090997339,104,0.03631961259079903,0.11009144806455878,0.0387409200968523,0.11225764367211735,0.08755037871485241,0.045,0.02,200,413,0.042097902097902096,0.042097902097902096,182,0.047176195945268985,0.047176195945268985,1817,0.0,0.0,1,0.04669048310718596,0.04669048310718596,2000,,,,,
kl_reg_sft,6,200,seq_kl_reg_sft_round_6_qd_scale200,0.22275641025641024,0.34328928093901584,104,0.02956989247311828,0.14126659630691887,0.043010752688172046,0.1356351426351426,0.11222473359973356,0.045,0.03,200,372,0.051255411255411255,0.051255411255411255,182,0.049005753418347155,0.049005753418347155,1817,0.0,0.0,1,0.04918596940481081,0.04918596940481081,2000,,,,,
kl_reg_sft,7,200,seq_kl_reg_sft_round_7_qd_scale200,0.2131410256410256,0.3312891895615001,104,0.0343980343980344,0.13484612180784425,0.04914004914004914,0.1441309535980589,0.11181084777795303,0.065,0.035,200,407,0.05308691308691308,0.05308691308691308,182,0.05346284906945661,0.05346284906945661,1817,0.0,0.0,1,0.053401907470510414,0.053401907470510414,2000,,,,,
kl_reg_sft,8,200,seq_kl_reg_sft_round_8_qd_scale200,0.23397435897435898,0.35844454950387167,104,0.05569620253164557,0.11237493498476366,0.05569620253164557,0.12324675243057598,0.11089988034840978,0.045,0.045,200,395,0.050681181563534496,0.050681181563534496,182,0.05124623301396539,0.05124623301396539,1817,0.0,0.0,1,0.051169190215469194,0.051169190215469194,2000,,,,,
kl_reg_sft,9,200,seq_kl_reg_sft_round_9_qd_scale200,0.22756410256410253,0.34051376177657977,104,0.02531645569620253,0.09971685368969528,0.027848101265822784,0.11577090620937368,0.08252698930756205,0.04,0.01,200,395,0.04944222444222444,0.04944222444222444,182,0.0506046825569722,0.0506046825569722,1817,0.0,0.0,1,0.050473596527251675,0.050473596527251675,2000,,,,,
kl_reg_sft,10,200,seq_kl_reg_sft_round_10_qd_scale200,0.2435897435897436,0.3443089487691227,104,0.03217821782178218,0.13420363165922275,0.04455445544554455,0.13741456827486237,0.09807401993431406,0.07,0.01,200,404,0.04797133900582176,0.04797133900582176,182,0.05150247824777459,0.05150247824777459,1817,0.4,0.4,1,0.051355393337633,0.051355393337633,2000,0.014,0.016,0.024,0.0833976510422363,500
naive_sft,1,200,seq_naive_sft_round_1_qd_scale200,0.21955128205128205,0.3437976253542352,104,0.0,0.05808540283088564,0.012658227848101266,0.05910450767124162,0.03711270860044636,0.02,0.005,200,395,0.021711387276088834,0.021711387276088834,182,0.023556601072647333,0.023556601072647333,1817,0.0,0.0,1,0.023376908316624187,0.023376908316624187,2000,,,,,
naive_sft,2,200,seq_naive_sft_round_2_qd_scale200,0.23397435897435898,0.3546992456971023,104,0.023017902813299233,0.06997324743060959,0.03836317135549872,0.06545857680152352,0.045709010318069454,0.03,0.025,200,391,0.023049282508939267,0.023049282508939267,182,0.025660159528366307,0.025660159528366307,1817,0.0,0.0,1,0.025409739639834263,0.025409739639834263,2000,,,,,
naive_sft,3,200,seq_naive_sft_round_3_qd_scale200,0.21955128205128205,0.3335451435034943,104,0.005405405405405406,0.04968398768073376,0.024324324324324326,0.04866536855358252,0.029032794750536578,0.025,0.015,200,370,0.024086358492695928,0.024086358492695928,182,0.029896550153730408,0.029896550153730408,1817,0.0,0.0,1,0.029352874437499406,0.029352874437499406,2000,,,,,
naive_sft,4,200,seq_naive_sft_round_4_qd_scale200,0.21634615384615385,0.33722076743504487,104,0.0049504950495049506,0.08125904644965991,0.017326732673267328,0.07663429759922812,0.048447044333170514,0.03,0.005,200,404,0.026930833676545567,0.026930833676545567,182,0.03336169600464995,0.03336169600464995,1817,0.0,0.0,1,0.03275980668479013,0.03275980668479013,2000,,,,,
naive_sft,5,200,seq_naive_sft_round_5_qd_scale200,0.1955128205128205,0.31218343597776343,104,0.009685230024213076,0.0646538983514069,0.01937046004842615,0.06370165812034666,0.046477892688247875,0.025,0.015,200,413,0.02417194584119422,0.02417194584119422,182,0.03365216774865076,0.03365216774865076,1817,0.15384615384615385,0.15384615384615385,1,0.03284956454812098,0.03284956454812098,2000,,,,,
naive_sft,6,200,seq_naive_sft_round_6_qd_scale200,0.21634615384615385,0.33722076743504487,104,0.016129032258064516,0.09796285239479582,0.02956989247311828,0.09323637997979477,0.07132778857120337,0.025,0.015,200,372,0.0324280597390369,0.0324280597390369,182,0.034423393356958876,0.034423393356958876,1817,0.0,0.0,1,0.03422460630104949,0.03422460630104949,2000,,,,,
naive_sft,7,200,seq_naive_sft_round_7_qd_scale200,0.18589743589743588,0.31631871260193145,104,0.014742014742014743,0.0877465835915246,0.03194103194103194,0.08283476203711176,0.05233812611942322,0.04,0.025,200,407,0.033950354408767404,0.033950354408767404,182,0.034124195053189185,0.034124195053189185,1817,0.0,0.0,1,0.034091313457020204,0.034091313457020204,2000,,,,,
naive_sft,8,200,seq_naive_sft_round_8_qd_scale200,0.21153846153846154,0.32704874407241274,104,0.04556962025316456,0.07891072344554166,0.05063291139240506,0.07972016842643441,0.05674245169871768,0.055,0.035,200,395,0.03547786598981237,0.03547786598981237,182,0.03578121236933945,0.03578121236933945,1817,0.0,0.0,1,0.035735717242617815,0.035735717242617815,2000,,,,,
naive_sft,9,200,seq_naive_sft_round_9_qd_scale200,0.19230769230769232,0.32338457065716514,104,0.010126582278481013,0.08000043794992884,0.012658227848101266,0.08743456137164803,0.060625569924498725,0.02,0.01,200,395,0.03605380922914485,0.03605380922914485,182,0.03849443301500051,0.03849443301500051,1817,0.0,0.0,1,0.03825308903398015,0.03825308903398015,2000,,,,,
naive_sft,10,200,seq_naive_sft_round_10_qd_scale200,0.203525641025641,0.3308858309193997,104,0.022277227722772276,0.1003894636332852,0.0297029702970297,0.08363773613367675,0.04438702412638583,0.045,0.0,200,404,0.03308229095150412,0.03308229095150412,182,0.037424480099189056,0.037424480099189056,1817,0.0,0.0,1,0.03701062864670013,0.03701062864670013,2000,0.002,0.018,0.058,0.06933968791557307,500
